id,artist_names,name,genres,acousticness,danceability,duration_ms,energy,speechiness,tempo,valence,
spotify:track:1DdnD06naRACOpK8lAnLp1,Marília Mendonça,O Que É Amor Pra Você - Ao Vivo,"sertanejo universitario,sertanejo,arrocha",0.534,0.682,184207,0.91,0.124,163.985,0.896,
spotify:track:0P3k6Jipqv1UWX0a4GmUuj,Mc Sapao,Vou Desafiar Você,"funk melody,funk das antigas,axe,funk carioca",0.358,0.644,239740,0.898,0.289,132.028,0.541,
spotify:track:5G3NKZf1Gqs7dQnY4Miliy,"Sidoka, FBC",Olha Pro Oclin,rap mineiro,0.0367,0.901,221490,0.484,0.117,130.02,0.766,
spotify:track:6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,"pop,dance pop",0.0888,0.824,172627,0.764,0.0854,107.998,0.881,
spotify:track:4NLfKIsRhP1cve1kcrYg40,Gusttavo Lima,Online,"agronejo,sertanejo universitario,sertanejo,arrocha",0.343,0.576,164053,0.857,0.0828,155.092,0.772,
spotify:track:6TtEsPJua1fXgiaYSjo4JD,"1Kilo, DoisP",Tenta Vir - Acústico,pop rap brasileiro,0.841,0.725,209981,0.408,0.0619,92.07,0.937,
spotify:track:1OmcAT5Y8eg5bUPv9qJT4R,"Post Malone, 21 Savage",rockstar (feat. 21 Savage),"atl hip hop,rap,melodic rap,hip hop,pop,dfw rap",0.128,0.58,218320,0.531,0.0776,159.786,0.141,
spotify:track:69Sy7207dnixZ6w7RSV9Kb,"League of Legends, Mako, The Word Alive, The Glitch Mob",RISE,"speedrun,video game music,glitch,melodic metalcore,trancecore,metalcore,pop edm,indietronica,complextro,glitch hop",0.0169,0.459,192881,0.663,0.1,176.791,0.412,
spotify:track:4xHkRNzzHtj3O3Z1pjYWRC,"Sandy, TIAGO IORC",Me Espera,"pop nacional,nova mpb,folk brasileiro",0.237,0.546,230561,0.36,0.0279,105.022,0.206,
spotify:track:5a8RPWgKSmcGBGcffmIrUi,"Sia, Diplo, Labrinth, LSD","Thunderclouds (feat. Sia, Diplo, and Labrinth)","pop dance,australian pop,moombahton,edm,electro house,pop,dance pop,indie poptimism,australian dance",0.0085,0.691,187027,0.716,0.0351,112.035,0.507,
spotify:track:3LFG5DqNQRK0yL6WNMw99P,"Henrique & Diego, Matheus & Kauan",Ciumento Eu (feat. Matheus & Kauan) - Ao Vivo,"agronejo,arrocha,pop nacional,sertanejo universitario,sertanejo pop,sertanejo",0.118,0.483,217573,0.904,0.0656,163.901,0.819,
spotify:track:6BPt2sVRvE41rUixcCAHY6,"Felipe Araújo, Henrique & Juliano",A Mala É Falsa - Ao Vivo,"agronejo,sertanejo universitario,sertanejo,arrocha",0.662,0.675,183987,0.885,0.0338,130.014,0.722,
spotify:track:3RHhNmN9eFeutAzyJ6SqnY,"IZA, Rincon Sapiência",Ginga (Participação especial de Rincon Sapiência),"pop nacional,afrofuturismo brasileiro,brazilian hip hop,r&b brasileiro,trap brasileiro",0.185,0.716,180625,0.972,0.319,127.887,0.602,
spotify:track:6ujbQPGL1jQs3fAUtKwX0x,George Henrique & Rodrigo,Cliente Preferencial (Um Modão Atrás Do Outro) - Ao Vivo,"agronejo,arrocha,sertanejo universitario,sertanejo pop,sertanejo",0.435,0.798,165956,0.694,0.186,145.902,0.747,
spotify:track:4Sib57MmYGJzSvkW84jTwh,"Taylor Swift, Brendon Urie, Panic! At The Disco",ME! (feat. Brendon Urie of Panic! At The Disco),pop,0.0291,0.614,193040,0.839,0.0702,182.123,0.657,
